customer_id,customer_name,email,city,age,salary
1001,Dylan Rice,garyhughes@example.net,San Francisco,22,106088
1002,Paul Miller,hwagner@example.com,San Francisco,40,143564
1003,Mrs. Sandra Herrera,stephaniesmith@example.com,San Francisco,54,104488
1004,Colin Sanders,karen67@example.org,San Francisco,38,115342
1005,Carolyn Williams,christopher53@example.net,San Francisco,41,123148
1006,Diane Nunez,latoya19@example.net,San Francisco,24,136263
1007,Benjamin Ortega,westlaura@example.org,San Francisco,24,114095
1008,Kathryn Martin,robert77@example.org,San Francisco,25,113176
1009,Jonathan King,dbishop@example.net,San Francisco,27,109699
1010,Matthew Perez,santosphilip@example.net,San Francisco,30,144672
1011,Andrew Peck,marcrobbins@example.org,San Francisco,52,51498
1012,Steven Ramos,cdavidson@example.org,San Francisco,56,101400
1013,Brenda Lopez,wilsonhannah@example.org,San Francisco,59,125219
1014,Isaac Davis,bryanlee@example.org,San Francisco,32,138554
1015,Craig Reyes,joneschristine@example.org,San Francisco,24,140547
1016,Christopher Williams,caleb74@example.com,San Francisco,63,96485
1017,Michelle Murray,wnelson@example.com,San Francisco,37,101042
1018,Susan Hawkins,crystaldavis@example.com,San Francisco,48,136853
1019,Jo Keller,parkerkenneth@example.net,San Francisco,29,125254
1020,David Mcgrath,rayrobin@example.org,San Francisco,41,49571
1021,Tiffany Hill DVM,sporter@example.com,San Francisco,31,124913
1022,Jason Jones,david96@example.net,San Francisco,56,84539
1023,John Carroll,colekirk@example.org,San Francisco,49,109168
1024,Karen Meza,andersonelijah@example.org,San Francisco,64,136922
1025,Darlene Galloway,kevinwagner@example.org,San Francisco,47,42815
1026,Matthew Morris,jessicabrown@example.com,San Francisco,45,115332
1027,Maria White,alexandria87@example.org,San Francisco,38,40832
1028,Jonathan Thompson,nbernard@example.net,San Francisco,59,148556
1029,Cheryl Fuller,jackie02@example.net,San Francisco,44,42473
1030,Amanda Ochoa,barbaramorales@example.com,San Francisco,20,69521
1031,Larry Rice,smitchell@example.com,San Francisco,40,95987
1032,Jesse Richards,luisblake@example.net,San Francisco,29,73928
1033,Michael Morrison,zstanley@example.org,San Francisco,34,116595
1034,Brittney Wright,mariavincent@example.org,San Francisco,63,140634
1035,Lydia Brown,jenkinsjames@example.com,San Francisco,40,109778
1036,Audrey Vazquez,christopherross@example.org,San Francisco,49,125670
1037,Michael Cooper,klewis@example.net,San Francisco,62,66257
