user_id,transaction_date,region,product_category,sale_amount,status,city,age,subscription,raw_timestamp,email,username,price,store_id,quantity,discount
USR0915,2025-04-25,East,Electronics,825.55,Cancelled,Jaipur,23,Standard,2025-04-25 13:02:00,user245@example.com,user_768,173.8,STORE07,5,0.05
USR0815,2025-08-27,Central,Groceries,2041.21,Completed,Ahmedabad,55,Basic,2025-08-27 00:48:00,user1308@example.com,user_3463,2551.51,STORE11,1,0.2
USR0380,2025-10-12,South,Electronics,4917.72,Pending,Chennai,56,Basic,2025-10-12 01:46:00,user3764@example.com,user_4393,819.62,STORE04,6,0.0
USR1482,2026-01-23,Central,Furniture,1760.24,Cancelled,Mumbai,20,Standard,2026-01-23 07:49:00,user2371@example.com,user_654,440.06,STORE08,5,0.2
USR0667,2025-04-14,North,Clothing,13907.66,Completed,Hyderabad,62,Standard,2025-04-14 20:04:00,user4991@example.com,user_1402,1931.62,STORE18,8,0.1
USR2282,2025-09-08,East,Clothing,5410.69,Completed,Bengaluru,20,Basic,2025-09-08 12:17:00,user543@example.com,user_1729,858.84,STORE19,7,0.1
USR1880,2025-11-19,East,Clothing,7497.0,Completed,Bengaluru,65,Standard,2025-11-19 17:16:00,user4789@example.com,user_3510,1102.5,STORE19,8,0.15
USR2022,2026-02-13,West,Electronics,4420.51,Completed,Delhi,58,Premium,2026-02-13 21:27:00,user4886@example.com,user_521,1841.88,STORE13,3,0.2
USR1030,2026-01-26,Central,Electronics,19197.76,Cancelled,Mumbai,61,Standard,2026-01-26 08:49:00,user2787@example.com,user_914,2999.65,STORE10,8,0.2
USR2051,2026-03-22,East,Books,749.59,Completed,Hyderabad,58,Standard,2026-03-22 19:12:00,user1253@example.com,user_3064,832.88,STORE06,1,0.1
USR0459,2025-01-01,North,Clothing,24118.24,Completed,Pune,33,Standard,2025-01-01 02:05:00,user3982@example.com,user_567,3014.78,STORE18,8,0.0
USR0677,2025-05-09,North,Books,4387.46,Cancelled,Kolkata,31,Standard,2025-05-09 23:44:00,user1648@example.com,user_2554,685.54,STORE13,8,0.2
USR0496,2026-01-18,East,Furniture,16972.29,Completed,Chennai,19,Standard,2026-01-18 17:14:00,user4821@example.com,user_1805,2218.6,STORE01,9,0.15
USR0277,2025-03-14,West,Clothing,3376.12,Completed,Jaipur,33,Basic,2025-03-14 21:31:00,user1756@example.com,user_4418,3553.81,STORE05,1,0.05
USR0780,2026-04-30,West,Electronics,8519.31,Cancelled,Kolkata,40,Basic,2026-04-30 13:29:00,user444@example.com,user_807,1252.84,STORE02,8,0.15
USR0785,2026-02-17,East,Books,6943.85,Pending,Delhi,45,Premium,2026-02-17 08:29:00,user2047@example.com,user_618,3654.66,STORE15,2,0.05
USR0383,2025-04-11,East,Furniture,2703.69,Pending,Ahmedabad,48,Premium,2025-04-11 12:57:00,user481@example.com,user_1349,300.41,STORE13,9,0.0
USR1169,2025-01-03,South,Books,20940.94,Cancelled,Ahmedabad,27,Premium,2025-01-03 09:13:00,user480@example.com,user_4745,4927.28,STORE18,5,0.15
USR2393,2025-03-04,South,Books,3752.48,Cancelled,Delhi,21,Standard,2025-03-04 02:54:00,user1523@example.com,user_562,3752.48,STORE20,1,0.0
USR0492,2025-03-11,Central,Furniture,11533.82,Cancelled,Lucknow,20,Standard,2025-03-11 02:26:00,user4782@example.com,user_4631,3392.3,STORE17,4,0.15
USR0978,2025-11-20,North,Groceries,16836.48,Completed,Hyderabad,47,Basic,2025-11-20 02:00:00,user3755@example.com,user_4613,4676.8,STORE04,4,0.1
USR0543,2025-03-17,North,Electronics,21961.45,Completed,Chennai,36,Premium,2025-03-17 14:53:00,user4451@example.com,user_2479,2711.29,STORE20,9,0.1
USR0425,2025-01-09,East,Clothing,27182.95,Completed,Mumbai,65,Standard,2025-01-09 04:17:00,user2309@example.com,user_4955,3355.92,STORE07,9,0.1
